Ran 4 miles good time , could have ran more	Running
I ran one mile . I felt powerful .	Running
nobody raced Five mile on and treadmill i fell tired	Running
I ran three miles . I feel energetic .	Running
I aimed for better performance than my first workout .   I felt around the same as I did after my first workout .	Running
I ran one mile outside . I felt ok until later when my plantar fasciitis made it hard to walk .	Running
I did My Usual first set of the workout aka my run   i felt good adrenaline and feel like i need to do this more often	Running
I just ran 9 miles on the trail . My feet are a little tired , but my calves are shot !	Running
I ran 2 miles at 5 am Very energized , but really tired too	Running
I ran 1 mile on the treadmill I should run more	Running
i just ran 200metres and am so stressed out	Running
i ran five miles and i feel better energized	Running
I ran 3 miles without stopping . I feel like I have conquered the world .	Running
I tried to run 3.5 miles in the humidity , yesterday . I felt like I was running in soup and couldn't catch my breath .	Running
I ran for 5 minutes . It was awful !	Running
i made five milles. i semmed energized.	Running
I ran 6 miles . I feel accomplished .	Running
I ran a mile and a half It was tough	Running
I ran a mile this afternoon . It 's been a while since I ran so it took me longer than usual and I 'm beat .	Running
I ran 5 times around the track and felt sore .	Running
I ran a mile , I felt pretty good afterward . Much more energetic .	Running
I ran 5 miles on a treadmill I felt tired	Running
Running in an area you know Tired but productive	Running
i ran down to the store 3blocks away my legs feels like jello after that	Running
I ran on the treadmill for 40 minutes   I felt exhausted and depleted	Running
I just ran for thirty minutes on the treadmill . I feel beat .	Running
I ran a 5k I felt healthy	Running
I ran two miles on the sidewalk today .    I felt good and strong , nice and easy .  	Running
I ran around the block one time I felt exhausted and tired after running	Running
I just ran a mile on the treadmill . I feel out of breath .	Running
track running i feel very good	Running
I ran on the treadmill for an hour . My legs are hurting so bad .	Running
i run anouther 30 kilometres 0n do treamill. i am exhausted anyway.	Running
I ran on the treadmill today . I felt exhausted after running .	Running
I ran 1 mile outside I 'm breathless from running	Running
I ran to the lake and back . I felt a nice runner's high .	Running
I AM RUNNING THREE MILES I FEEL VERY DIFFICULT IN THE FIRST WOROUT	Running
I ran for 30 minutes . I felt fast .	Running
I ran for a mile and a half . I felt exhausted and need to catch my breath .	Running
I just ran 2 miles ! I felt great , very energetic	Running
1 ran 1st mile but ye ' m breathless after raining	Running
I just ran 3 miles today . I feel accomplished but exhausted .	Running
I ran a marathon I am exhausted	Running
I ran on a treadmill for five minutes .   My legs feel really weak .	Running
I said forr $30 minutes i became tired till the beginning but strong en this end	Running
I went running for an hr I felt energized	Running
I ran laps around the track I felt accomplished and tired	Running
ye hopped on her treadmill foi 60 minuts i felt suddenly tired	Running
I ran for 20 minutes and I feel exhausted .	Running
is walked 200 miles on an bike i was really out cold but it feel exhausted en sweat.	Running
Workout : Ran 15 minutes on Treadmill .7 Miles I felt like my heart was going to explode .	Running
it runed for three pecent on this treadmill. i was terribly tirred ah out of shape.	Running
be ran m'y cars on the byke trial. we felt an bit sluggish afterwards and kept a slower beach but glag to get scoohl done.	Running
long whi cutting up which is bad. my body circulation reached all core muscles asa tehre wre less risc of getting enjured	Running
I ran 5 km and it felt great .	Running
I ran 2 miles and felt like my lungs were on fire	Running
I ran on the treadmill for 45 minutes and I feel good	Running
I ran for a few blocks . I was exhausted .	Running
I ran 5 kilometres outside . I felt refreshed after I finished .	Running
I ran sprints up the hills by the field exhausted	Running
I ran on the treadmill for 30 minutes . I felt invigorated .	Running
I run about a mile .   I feel like i m dying .	Running
I ran seven miles and I felt full of energy .	Running
i tried a run i stops no. ' d bake it	Running
i running five miles at the morning . then i feel energized .	Running
I just ran four miles I feel so much energy	Running
I ran five miles . I feel energized .	Running
i ran around the track for a half hour i felt out of breath !	Running
I am so exhausted after that workout   I felt proud after I completed the workout	Running
I went on a 30 minute jog i felt tired	Running
Hot but I worked through the weather on my run	Running
I finished my morning run I feel good and energetic	Running
I ran a 10k on a river levee . I felt happy after completing the 10k !	Running
Running at least 4 block up and back down . I felt really tired but worked at it again .	Running
I ran uphill with a friend and the next day , my heels and calfs were killing me from soreness	Running
I just ran a half mile . I felt very winded .	Running
I just ran a 100 meter race . I can not feel my legs .	Running
Today I ran 1 mile . I feel accomplished	Running
I ran 2 miles on the treadmill . I am exhausted and really out of shape !	Running
I ran five miles . I felt energized .	Running
I just ran 2 miles . I'm exhausted now .	Running
I ran six miles I felt GREAT afterwards ! But now , I really need some water .	Running
I ran 3 miles on the treadmil . I am so out of shape and out of breath .	Running
run for ten stops Strait at the downtown stroes i felt tire after me running	Running
I ran half of a mile .   My legs were numb and tingly and i felt accomplished	Running
I ran for 10 minutes . I 'm dying .	Running
I ran 3 miles today . It was amazing run the sun was shining and my legs were just moving on there own !	Running
I ran on the treadmill for 45 minutes straight I felt really tired but happy	Running
I ran 5 K on the treadmill this afternoon . I feel invigorated !	Running
I ran doe two miles . I felt really tired after my run anf my feet really hurt	Running
I just ran a mile My legs feel so light	Running
Ran for 10 minutes straight at the local gym I felt Tire after the running	Running
I ran two miles on the treadmill . I am out of breath , sweaty and need to drink something ,	Running
I Have Early Morning Go to Running . I Am Very Energetic On The Day .	Running
Long Ran around three miles on Track I feel it was very tough	Running
I ran ten miles . I was really tired !	Running
I ran a Ultra Beast Spartan Race and felt like I was going to die	Running
I ran four miles on the treadmill at the gym . I felt exhausted and pushed to my limit .	Running
I ran 3.75 miles with Virginia and felt great .	Running
I ran and felt winded	Running
I ran 30 minutes on the treadmill I felt exhausted .	Running
key: ran 15.oo persent on treadmill. seven whatever it felt around mt back could going to explode.	Running
I ran 10 miles and I felt refreshed !	Running
I ran for an hr I felt refreshed	Running
I just ran 1.5 miles on the treadmill .   I was starting to cramp after the mile mark .	Running
I ran for ten minutes and felt out of shape	Running
I ran 2 miles .   I feel so energetic .	Running
I just ran up 30 flights of stairs . I feel wiped out .	Running
I ran on the elliptical and got my blood pumping !	Running
I just finish my 40 minutes running . I am very thirsty .	Running
I   ran on the treadmill today   I felt tired after performing this workout .	Running
I just finished running 2 miles . It was a lot harder than I expected . I 'm sore .	Running
I would run on the treadmill for 30 minutes . I felt energized .	Running
I AM RUNNING IN FIRST WORKOUT FIRST WORKOUT DIFFICULT	Running
i feel tired , i just ran three miles .	Running
