I ran 3 miles on the treadmil . I am so out of shape and out of breath .	Running
This one was far easier but my legs hurt so bad   Still felt proud after completion but really tiring during	Running
I ran a 10k on a river levee . I felt happy after completing the 10k !	Running
my first workout was running few miles that s so hard to me	Running
I ran ten miles . I was really tired !	Running
I did HITT Cardio outdoors on the track I was exhausted	Running
I ran on the treadmill for 15 minutes ! that almost killed me !	Running
I ran 10 miles and I felt refreshed !	Running
now l rum fo$th more two days on usimg a treadmill it sehmed grfat!	Running
I ran for 10 minutes feeling dizzy	Running
i just ran around my block twice .   I was really exhauted when i got back home .	Running
i tried to run i could n't make it	Running
I just ran for 30 minutes on the treadmill . The joint in my toe is still a little tender .	Running
I ran laps around the track I felt accomplished and tired	Running
I ran 6 miles with my best friend . I felt very tired , as my friend is faster than me , so its not easy to run his pace .	Running
I run about a mile .   I feel like i m dying .	Running
I ran on the treadmill for an hour today . My legs feel like they are about to fall off .	Running
I ran 50 minutes and I felt better and energized .	Running
swewr I vor one how Ninute ye this loiked grat!	Running
I ran seven miles and I felt full of energy .	Running
I ran 3 miles today . It was amazing run the sun was shining and my legs were just moving on there own !	Running
I went running   I was tiered	Running
Running 4 miles I felt like my knees were numb with sharp pain	Running
Been havinV au for warhed ye running fiers bacam# an tired the geVinning but of then pic,ed up it Xlean oof afterwards.	Running
running in the street I felt exhausted	Running
I ran for 30 minutes . I felt fast .	Running
I ran laps for twenty minutes . I was out of breath .	Running
I ran on the treadmill for 5 minutes and felt exhausted .	Running
I ran the treadmill for 30 minutes and I feel exhausted	Running
I ran 2 miles on the treadmill I felt exhausted afterwards	Running
I just did a ten kilometer run . I feel wiped out and ready to collapse on the floor .  	Running
then rans smol litHle circles on the een stone besOde sidewaiJ. mtself ye thiC felt gokd s$rpnge been, nice and. eisy	Running
I ran on a treadmill for five minutes .   My legs feel really weak .	Running
I ran around the block . I felt happy afterwards .	Running
FIRST WORK OUT RUNNING I AM HARD TO WORK OUT	Running
I ran on the treadmill for an hour . My legs are hurting so bad .	Running
i ran a mile very tired	Running
I just sprinted a mile . I feel exhausted !	Running
sohne we ran just a out l8ng arould swim up tUen. late thwse legs very als shakg.	Running
i ran six miles i was very out of breath	Running
I ran on the treadmill for 30 minutes   I felt great the first 10 minutes but the last 30 were miserable	Running
I ran 2 miles on the track and i feel great	Running
I ran around the block one time I felt exhausted and tired after running	Running
I ran on the treadmill for a hour I felt really tired after .	Running
I just ran a 5k My legs are tired now	Running
I just ran up 30 flights of stairs . I feel wiped out .	Running
I ran on the treadmill for 40 minutes   I felt exhausted and depleted	Running
I ran 3 miles on a treadmill . I felt rejuvenated after working out .	Running
I just ran 6 miles ! I felt like I was dying .	Running
I ran two miles on the sidewalk today .    I felt good and strong , nice and easy .  	Running
I just ran 1.5 miles on the treadmill .   I was starting to cramp after the mile mark .	Running
I ran for 30 minutes It feels exhilarating	Running
is went 8nly about aa milk miedle so it paJnfullu wa but hard 3hen	Running
I have run 4 miles in morning . I have feel do not energized and leg pain	Running
I ran six miles . I felt terrific .	Running
i ran a 5k it was terrifying	Running
My second workout was running and just running nothing else .   My legs were sore but still I loved it	Running
I ran two miles . I feel refreshed .	Running
